,Unnamed: 0,broj_soba,kvadratura_m2,ukupan_broj_spratova,lokacija,udaljenost
231,5974,4.0,78.0,6.0,Palata pravde,1.46223157229707
232,5975,4.0,109.0,5.0,Crveni krst,3.2295039183622145
233,5976,5.0,95.0,7.0,Bežanijska kosa I,5.938591758432152
234,5977,4.0,95.0,3.0,Kalemegdan,0.7637809531403825
235,5978,4.0,90.0,4.0,Stari Grad,358.7790514334965
236,5979,3.0,85.0,4.0,Donji Dorćol,0.6620427698899353
237,5980,2.0,45.0,5.0,Lion,1228.263457866654
238,5981,4.0,72.0,5.0,Kalenić pijaca,2.4656921514269445
239,5982,1.0,52.0,5.0,Kalenić pijaca,2.4656921514269445
240,5983,4.0,82.0,6.0,Braće Jerković,6.19034668998448
242,5985,1.0,50.0,5.0,Crveni krst,3.2295039183622145
243,5986,4.0,100.0,6.0,Autokomanda,3.215018856368662
244,5987,3.0,87.0,6.0,Autokomanda,3.215018856368662
245,5988,4.0,124.0,6.0,Autokomanda,3.215018856368662
247,5990,2.0,54.0,5.0,Novi Beograd Blok 7 (Paviljoni),4.445589326687591
248,5991,3.0,60.0,6.0,Braće Jerković,6.19034668998448
250,5993,4.0,87.0,15.0,Novi Beograd Blok 63,6.09769497367669
251,5994,3.0,53.0,3.0,Voždovac,6.7168704899933
252,5995,5.0,92.0,6.0,Crveni krst,3.2295039183622145
254,5997,2.0,42.0,5.0,Vukov spomenik,2.1630935026910407
255,5998,3.0,80.0,7.0,Novi Beograd Blok 29,3.443031056101599
256,6002,4.0,125.0,3.0,Lekino brdo,3.7759754581122
257,6004,5.0,120.0,5.0,Tašmajdan,1.4548943184742773
258,6005,3.0,60.0,6.0,Crveni krst,3.2295039183622145
259,6006,5.0,180.0,5.0,Slavija,140.38293799225383
261,6008,2.0,58.0,7.0,Novi Beograd Blok 29,3.443031056101599
262,6009,2.0,46.0,6.0,Crveni krst,3.2295039183622145
263,6010,2.0,58.0,15.0,Novi Beograd Blok 63,6.09769497367669
264,6011,4.0,120.0,8.0,Donji Dorćol,0.6620427698899353
265,6012,3.0,74.0,3.0,Olimp,548.3648851420485
266,6040,2.0,43.0,3.0,Zvezdara,4.180902157560265
267,6067,3.0,54.0,2.0,Zvezdara,4.180902157560265
268,6141,4.0,97.0,5.0,Palilulska pijaca,1.6323921234133318
269,6223,3.0,112.0,5.0,Savski venac,1.6695696906286124
270,6313,4.0,114.0,5.0,Palilula,266.46924178002126
272,6422,3.0,83.0,5.0,Neimar,2.8931627895061047
273,6423,3.0,86.0,5.0,Donji Dorćol,0.6620427698899353
274,6424,1.0,53.0,5.0,Donji Dorćol,0.6620427698899353
275,6427,4.0,108.0,20.0,Palilula,266.46924178002126
276,6428,3.0,82.0,3.0,Vračar (Centar),2.950728658023147
277,6429,3.0,72.0,5.0,Miljakovac II,7.825138592367934
278,6430,4.0,107.0,6.0,Gundulićev venac,1.180574947139002
279,6431,3.0,48.0,5.0,Braće Jerković,6.19034668998448
280,6432,3.0,71.0,4.0,Banovo brdo,5.5362987541185245
281,6433,3.0,103.0,3.0,Dedinje (Beli dvor),5.806718168712199
282,6434,3.0,70.0,3.0,Lekino brdo,3.7759754581122
283,6435,3.0,64.0,3.0,Trošarina,6.558459236390923
284,6436,4.0,87.0,3.0,Trošarina,6.558459236390923
285,6437,3.0,72.0,3.0,Trošarina,6.558459236390923
286,6438,3.0,75.0,5.0,Crveni krst,3.2295039183622145
287,6467,4.0,219.0,4.0,Dedinje (RTV Pink),4.507426578162715
288,6468,5.0,97.0,7.0,Savski venac,1.6695696906286124
289,6469,3.0,70.0,3.0,Lekino brdo,3.7759754581122
290,6472,4.0,100.0,6.0,Barajevo,26.894131519744
291,6475,4.0,99.0,5.0,Lekino brdo,3.7759754581122
292,6476,4.0,99.0,5.0,Lekino brdo,3.7759754581122
293,6481,3.0,67.0,6.0,Novi Beograd Blok 44 (Piramida),5.878503144172534
294,6482,2.0,51.0,2.0,Palilula,266.46924178002126
295,6483,4.0,86.0,7.0,Neimar,2.8931627895061047
296,6484,5.0,199.0,3.0,Banovo brdo,5.5362987541185245
298,6486,3.0,87.0,23.0,Beograd na vodi,1.4993440102972917
299,6487,3.0,81.0,23.0,Beograd na vodi,1.4993440102972917
300,6488,3.0,71.0,16.0,Beograd na vodi,1.4993440102972917
301,6489,2.0,54.0,16.0,Beograd na vodi,1.4993440102972917
302,6490,2.0,49.0,4.0,Voždovac,6.7168704899933
303,6491,4.0,127.0,6.0,Čubura,2.6496467107738804
304,6492,4.0,101.0,16.0,Beograd na vodi,1.4993440102972917
305,6493,4.0,124.0,16.0,Beograd na vodi,1.4993440102972917
306,6494,4.0,152.0,16.0,Beograd na vodi,1.4993440102972917
307,6495,5.0,182.0,16.0,Beograd na vodi,1.4993440102972917
308,6496,3.0,85.0,4.0,Vukov spomenik,2.1630935026910407
309,6497,3.0,85.0,5.0,Mirijevo III,7.024177481522416
310,6498,5.0,100.0,7.0,Lion,1228.263457866654
311,6499,3.0,72.0,7.0,Novi Beograd Blok 72,7.53081938901069
312,6500,2.0,64.0,5.0,Đeram pijaca,3.019987388227741
313,6501,3.0,100.0,2.0,Zemun (Ćukovac),5.16212315340926
314,6502,4.0,115.0,2.0,Zemun (Ćukovac),5.16212315340926
315,6503,4.0,96.0,6.0,Tašmajdan,1.4548943184742773
316,6504,3.0,80.0,2.0,Lion,1228.263457866654
317,6506,2.0,61.0,7.0,Tošin bunar,4.780193666484915
318,6507,5.0,107.0,4.0,Vračar (Centar),2.950728658023147
319,6508,3.0,94.0,7.0,Tošin bunar,4.780193666484915
