,broj_soba,kvadratura_m2,spratnost,godina,udaljenost
56,3,62,2,2021,4.627809124287993
328,3,78,4,1974,3.764078274853733
1120,3,100,1,2021,4.4906956347495095
699,3,90,3,2010,4.627809124287993
1126,3,61,2,2021,8.758272925844354
920,3,65,1,2021,1.9339117769294034
17,4,114,1,1939,2.950728658023147
726,4,72,5,1988,5.410252426884404
519,2,41,-1,2019,4.627809124287993
823,4,91,5,1960,1.4548943184742773
57,3,71,2,2021,2.1630935026910407
189,4,257,3,2016,3.7759754581122
910,2,53,1,1975,7.341600443143959
801,4,86,2,2005,4.627809124287993
760,2,55,4,2020,7.046777409176671
686,3,83,3,2010,2.950728658023147
484,4,75,4,1997,7.341600443143959
278,3,71,2,2009,3.9333331631598982
1141,2,43,7,2020,4.809290970010597
1070,2,49,1,2009,5.850879238095825
109,4,94,2,2009,7.727643811926475
812,2,47,3,2017,3.764078274853733
972,4,177,4,2021,1.632392123413332
69,2,52,1,2015,6.19034668998448
907,3,83,1,1967,0.7637809531403825
585,3,114,1,2019,2.950728658023147
1211,2,78,0,2014,4.627809124287993
154,2,55,3,2002,4.180902157560265
132,3,90,2,1992,16.93552267741177
618,2,82,1,1936,2.4656921514269445
51,3,125,6,1980,1.5042766095938493
539,4,112,1,2020,4.627809124287993
1078,3,78,1,2018,2.950728658023147
1246,4,96,0,1980,7.046777409176671
745,4,83,3,2009,3.229503918362215
1043,5,180,1,1965,1.9339117769294034
1194,2,55,0,2020,3.229503918362215
1324,3,45,-1,2017,3.215018856368662
1201,3,44,0,2016,6.412357511311248
174,2,47,2,2021,2.6496467107738804
1262,3,122,0,2000,1.151400209782773
1208,4,106,0,1980,9.540825411381281
1155,4,80,0,2016,3.0199873882277415
854,4,107,6,2021,0.33608526663220517
374,3,70,1,2013,4.180902157560265
906,3,57,4,2003,7.341600443143959
403,3,87,3,2021,4.627809124287993
781,3,71,2,2021,8.758272925844354
596,4,106,4,2016,6.558459236390924
119,2,82,1,2020,1.4993440102972917
289,3,68,1,2019,3.9333331631598982
577,2,53,3,2021,1.632392123413332
483,3,70,1,2013,5.366227568282904
1158,1,32,0,2016,7.4817508027579995
589,4,114,4,1938,0.33608526663220517
1230,3,70,0,1932,3.0199873882277415
360,2,55,2,1962,1.6695696906286124
410,4,89,2,2021,4.627809124287993
1319,2,84,0,2000,5.368480014073527
1287,3,59,0,2020,3.1475793767187654
616,3,61,2,2021,8.758272925844354
567,4,109,2,2007,3.229503918362215
639,3,62,2,1934,1.632392123413332
737,4,110,3,2008,4.627809124287993
882,2,52,1,2015,6.19034668998448
1294,3,71,0,2021,8.758272925844354
727,3,87,2,2019,3.215018856368662
867,3,77,1,1939,1.4548943184742773
1235,3,50,0,1973,2.670760515983161
1238,4,104,0,1991,6.0625307468511105
800,4,98,4,2017,2.4656921514269445
235,3,97,1,1923,0.33608526663220517
1082,3,150,6,2014,4.627809124287993
625,4,76,1,1936,1.6695696906286124
1222,4,91,0,1928,1.151400209782773
149,4,175,3,2018,4.627809124287993
9,2,47,7,2020,7.127100263495205
961,3,107,3,1937,0.33608526663220517
200,4,141,4,1939,1.4548943184742773
784,3,73,7,2021,3.9681777402122815
124,3,68,2,1968,4.627809124287993
931,4,80,2,1954,1.632392123413332
448,3,82,2,1935,2.1630935026910407
472,2,57,3,2020,8.758272925844354
722,5,104,1,2010,3.3908802817498596
707,3,88,1,2008,8.060358697490658
1144,3,77,2,2021,2.950728658023147
1275,3,73,0,2021,8.758272925844354
934,2,42,3,2011,5.533022836943176
1259,4,87,0,2017,51.60738518857496
308,3,52,1,2021,6.558459236390924
1265,2,65,0,2000,6.0625307468511105
93,4,87,4,1952,7.304095597826741
286,3,70,1,2014,4.699478834391479
808,2,51,2,2020,5.366227568282904
903,3,47,1,1990,8.596287472021276
655,3,102,1,2019,2.6496467107738804
870,2,51,1,2021,4.782396136000677
588,4,142,2,2001,7.341600443143959
399,4,137,5,2008,2.950728658023147
19,5,260,3,2016,3.7759754581122
239,4,91,4,2010,5.665321617926698
528,3,66,6,1930,0.40975379082458147
877,2,32,3,2005,3.900039816858124
1038,5,92,3,2021,3.229503918362215
364,3,70,5,2022,5.533022836943176
634,4,83,3,1926,2.1630935026910407
419,6,150,3,1989,6.412357511311248
0,3,74,3,2022,4.627809124287993
723,4,71,4,2018,6.412357511311248
1270,3,40,0,2011,4.701286657456922
1134,2,52,2,2005,5.5362987541185245
434,4,85,3,1936,2.707399459121268
224,4,105,1,2020,3.0199873882277415
628,5,90,2,2008,8.50683751498356
1312,3,53,0,2020,4.627809124287993
117,2,62,3,2020,3.229503918362215
846,3,109,1,2008,3.229503918362215
70,3,80,4,2001,51.60738518857496
447,2,50,4,2010,8.404931935037915
