,broj_soba,kvadratura_m2,spratnost,godina,udaljenost
249,4,86,2,2004,4.627809124287993
250,4,85,1,1939,3.215018856368662
251,4,85,1,1938,3.3908802817498596
253,4,85,4,2010,3.0199873882277415
254,3,83,2,2020,4.627809124287993
255,3,83,4,2020,4.627809124287993
256,3,83,1,2020,4.627809124287993
257,3,82,5,2019,4.627809124287993
258,3,83,3,2020,4.627809124287993
260,4,84,5,1936,2.950728658023147
261,3,83,3,1928,2.1630935026910407
262,3,83,1,2019,3.7759754581122
263,3,82,1,2009,4.627809124287993
264,3,81,4,1973,2.950728658023147
267,3,80,4,1988,5.5362987541185245
269,4,79,3,2013,3.7759754581122
270,4,78,1,2003,3.764078274853733
271,3,77,3,2021,2.1630935026910407
273,3,74,3,2004,3.0199873882277415
274,4,75,6,1980,7.727643811926475
276,4,74,2,1989,6.2241629532191105
277,3,72,2,2021,6.558459236390924
278,3,71,2,2009,3.9333331631598982
280,3,71,4,1980,7.727643811926475
282,3,71,1,2021,2.1630935026910407
284,3,71,2,2021,2.1630935026910407
285,3,70,3,2021,6.558459236390924
286,3,70,1,2014,4.699478834391479
287,3,70,1,2013,4.627809124287993
288,3,68,3,2020,7.127100263495205
289,3,68,1,2019,3.9333331631598982
291,3,69,1,2021,6.558459236390924
292,3,66,3,2020,1.151400209782773
295,2,64,2,1969,2.4656921514269445
296,3,65,1,2009,4.627809124287993
297,3,64,1,2021,3.229503918362215
298,3,62,1,2021,4.627809124287993
299,3,64,2,2021,4.627809124287993
300,3,64,1,2021,4.627809124287993
301,3,62,2,2021,4.627809124287993
302,3,60,2,2017,6.412357511311248
306,2,53,2,1931,1.5042766095938493
307,3,52,4,2021,6.558459236390924
308,3,52,1,2021,6.558459236390924
309,3,53,-1,1989,6.2241629532191105
310,2,49,2,2007,7.727643811926475
312,2,46,4,2021,6.558459236390924
314,2,42,1,2008,2.4656921514269445
315,2,38,1,1975,1.4548943184742773
316,1,30,4,2020,4.627809124287993
317,1,34,4,1926,1.151400209782773
318,1,36,5,1968,1.9339117769294034
319,1,30,1,2020,4.627809124287993
320,1,28,5,1970,5.368480014073527
321,4,80,2,2021,8.758272925844354
323,3,53,1,2021,3.900039816858124
324,3,78,3,2021,6.2241629532191105
325,3,71,3,2021,3.0199873882277415
326,3,69,1,2021,3.0199873882277415
327,1,36,8,1990,3.9650819778586195
328,3,78,4,1974,3.764078274853733
329,1,26,5,1963,5.5362987541185245
332,1,32,4,1968,3.028100804547556
334,5,96,2,1930,0.33608526663220517
335,1,23,7,1970,0.33608526663220517
336,1,33,5,2003,1.151400209782773
337,5,420,5,2010,3.028100804547556
340,4,95,2,1973,12.112608628571747
341,4,160,5,2018,3.229503918362215
342,3,127,4,2020,2.6496467107738804
345,4,96,1,1932,1.151400209782773
346,4,133,6,2021,3.215018856368662
347,4,100,1,2020,4.4906956347495095
348,4,168,2,2016,5.999329576170734
349,2,43,1,2018,5.410252426884404
354,4,92,2,1989,5.999329576170734
355,2,42,3,2018,7.153095479774088
356,2,49,1,2018,7.153095479774088
357,2,36,1,2018,7.153095479774088
358,2,53,2,1980,13.783516302533739
359,7,220,6,2000,3.0482574440179495
360,2,55,2,1962,1.6695696906286124
361,3,132,2,2000,3.215018856368662
363,3,69,2,1938,2.8931627895061047
364,3,70,5,2022,5.533022836943176
365,3,84,2,2017,17.41971612183071
367,3,77,5,1970,0.33608526663220517
368,3,80,3,1939,2.950728658023147
369,4,90,1,2010,4.180902157560265
370,3,62,4,2010,2.950728658023147
371,3,120,1,1997,2.950728658023147
372,2,39,3,2020,4.627809124287993
373,2,42,1,2008,2.950728658023147
374,3,70,1,2013,4.180902157560265
377,4,89,1,2021,4.627809124287993
378,2,42,2,2021,10.55949884993751
379,2,38,2,2021,10.55949884993751
380,2,48,2,2021,10.55949884993751
381,1,34,2,2021,10.55949884993751
382,4,133,1,1935,2.950728658023147
383,3,80,2,2008,8.060358697490658
384,3,80,8,2001,4.627809124287993
385,3,99,4,2016,5.5362987541185245
386,3,112,3,2016,5.5362987541185245
387,2,47,1,2021,13.451198172241758
388,2,57,3,2015,17.41971612183071
389,3,63,1,2021,13.451198172241758
391,2,42,7,1992,0.33608526663220517
392,3,79,1,2008,11.920072721153614
393,3,82,1,2008,11.920072721153614
394,5,134,1,2008,11.920072721153614
395,2,54,1,2009,4.4906956347495095
396,4,75,4,2003,7.341600443143959
397,3,65,2,2021,4.627809124287993
398,3,94,3,2021,4.627809124287993
399,4,137,5,2008,2.950728658023147
400,3,75,2,1995,26.894131519743997
401,3,100,7,2017,4.180902157560265
402,2,46,1,2021,13.451198172241758
403,3,87,3,2021,4.627809124287993
405,3,60,2,2020,0.33608526663220517
406,4,139,4,2018,4.627809124287993
407,4,102,2,2020,5.5362987541185245
408,1,41,1,2012,4.627809124287993
409,3,80,2,2006,7.046777409176671
410,4,89,2,2021,4.627809124287993
411,4,85,1,1996,4.627809124287993
412,3,72,2,2021,4.627809124287993
414,2,73,30,2021,1.4993440102972917
416,6,251,4,2017,3.7759754581122
417,1,54,4,2018,1.5042766095938493
418,6,102,5,2021,3.028100804547556
419,6,150,3,1989,6.412357511311248
